id_cidade;nome;LATITUDE;LONGITUDE
300738;Barreira;-4,289605467;-38,64322361
302089;Barreiras;-12,14430212;-44,99720178
302077;Barreiras do Piauí;-9,923940937;-45,47345292
304172;Barreirinha;-2,799246872;-57,06832238
303208;Barreirinhas;-2,752497237;-42,82783108
301083;Barreiros;-8,816482056;-35,18346911
303627;Barretos;-20,55361122;-48,57023549
303675;Barrinha;-21,19399119;-48,16395084
300809;Barro;-7,176967347;-38,77942872
301507;Barro Alto;-11,76093311;-41,90578345
302807;Barro Alto;-14,96811956;-48,91304473
301788;Barro Duro;-5,817138888;-42,51499715
305898;Barro Preto;-14,79523162;-39,47635845
300949;Barrocas;-11,5276638;-39,07791586
302240;Barrolândia;-9,834464655;-48,72558751
300711;Barroquinha;-3,020904473;-41,13618054
305395;Barros Cassal;-29,0929815;-52,58294051
303123;Barroso;-21,19113684;-43,9724132
303737;Barueri;-23,5061675;-46,87944266
304473;Bastos;-21,92144803;-50,73611601
305572;Bataguassu;-21,71635812;-52,42248871
302425;Batalha;-4,022696372;-42,0790173
